Title,Year,Notes
The Pigeon That Took Rome,1962,d.- Melville Shavelson (6 1/2)
Two Weeks in Another Town,1962,d.- Vincente Minnelli (6 1/2)
The Premature Burial,1962,d.- Roger Corman (6 1/2)
The Quare Fellow,1962,(IRE) d.- Arthur Dreifuss (6 1/2)
Zotz!,1962,d.- William Castle (6 1/2)
Freud,1962,d.- John Huston (6 1/2)
Mr. Hobbs Takes a Vacation,1962,d.- Henry Koster (6 1/2)
Sergeants 3,1962,d.- John Sturges (6 1/2)
My Geisha,1962,d.- Jack Cardiff (6 1/2)
State Fair,1962,d.- Jose Ferrer (6 1/2)
Tender is the Night,1962,d.- Henry King (6 1/2)
Tarzan Goes to India,1962,(BR-US-SW) d.- John Guillermin (6 1/2)
If a Man Answers,1962,d.- Henry Levin (6 1/2)
Gigot,1962,d.- Gene Kelly (6 1/2)
Some People,1962,(BR) d.- Clive Donner (6 1/2)
Jessica,1962,"(US-FR-IT) d.- Jean Negulesco, Oreste Palella (6 1/2)"
Eva,1962,(FR-IT) d.- Joseph Losey (6 1/2)
Phaedra,1962,(FR-GR-US) d.- Jules Dassin (6 1/2)
Panic in the Year Zero!,1962,d.- Ray Milland (6 1/2)
Two for the Seesaw,1962,d.- Robert Wise (6 1/2)
Sodom and Gomorrah,1962,(US-IT-FR) d.- Robert Aldrich (6 1/2)
Who’s Got the Action ?,1962,d.- Daniel Mann (6 1/2)
Five Weeks in a Balloon,1962,d.- Irwin Allen (6 1/2)
Satan Never Sleeps,1962,d.- Leo McCarey (6 1/2)
Kid Galahad,1962,d.- Phil Karlson (6 1/2)
Hemingway’s Adventures of a Young Man,1962,d.- Martin Ritt (6 1/2)
All Night Long,1962,(BR) d.- Basil Dearden (6 1/2)
Geronimo,1962,d.- Arnold Laven (6 1/2)
No Man is an Island,1962,"d.- Richard Goldstone, John Monks Jr. (6 1/2)"
On the Beat,1962,(BR) d.- Robert Asher (6 1/2)
The Dock Brief,1962,(BR) d.- James Hill (6 1/2)
Tiara Tahiti,1962,(BR) d.- Ted Kotcheff (6)
Captain Clegg,1962,(BR) d.- Peter Graham Scott (6)
The Chapman Report,1962,d.- George Cukor (6)
Hand of Death,1962,d.- Gene Nelson (6)
The Fast Lady,1962,(BR) d.- Ken Annakin (6)
Lisa,1962,(BR-US) d.- Philip Dunne (6)
The Three Stooges Meet Hercules,1962,d.- Edward Bernds (6)
Big Red,1962,(US-CAN) d.- Norman Tokar (6)
Strongroom,1962,(BR) d.- Vernon Sewell (6)
Walk on the Wild Side,1962,d.- Edward Dmytryk (6)
House of Women,1962,d.- Walter Doniger (6)
Convicts 4,1962,d.- Millard Kaufman (5 1/2)
The Three Stooges in Orbit,1962,d.- Edward Bernds (5 1/2)
The Brain that Wouldn’t Die,1962,d.- Joseph Green (5)
Tom Jones,1963,(BR) d.- Tony Richardson (7)
Hud,1963,d.- Martin Ritt (7)
The Great Escape,1963,d.- John Sturges (7)
The Servant,1963,(BR) d.- Joseph Losey (7)
Lilies of the Field,1963,d.- Ralph Nelson (7)
"It's A Mad, Mad, Mad, Mad World",1963,d.- Stanley Kramer (7)
The Birds,1963,d.- Alfred Hitchcock (7)
This Sporting Life,1963,(BR) d.- Lindsay Anderson (7)
Billy Liar,1963,(BR) d.- John Schlesinger (7)
Charade,1963,d.- Stanley Donen (7)
"America, America",1963,d.- Elia Kazan (6 1/2)
Shock Corridor,1963,d.- Samuel Fuller (6 1/2)
The Haunting,1963,d.- Robert Wise (6 1/2)
The Pumpkin Eater,1963,(BR) d.- Jack Clayton (6 1/2)
From Russia With Love,1963,(BR) d.- Terence Young (6 1/2)
Jason and the Argonauts,1963,(BR) d.- Don Chaffey (6 1/2)
Irma la Douce,1963,d.- Billy Wilder (6 1/2)
The Nutty Professor,1963,d.- Jerry Lewis (6 1/2)
The Pink Panther,1963,d.- Blake Edwards (6 1/2)
Love With the Proper Stranger,1963,d.- Robert Mulligan (6 1/2)
Murder at the Gallop,1963,(BR) d.- George Pollock (6 1/2)
The Wheeler Dealers,1963,d.- Arthur Hiller (6 1/2)
Lord of the Flies,1963,(BR) d.- Peter Brook (6 1/2)
Who’s Minding the Store?,1963,d.- Frank Tashlin (6 1/2)
The Incredible Journey,1963,d.- Fletcher Markle (6 1/2)
The Thrill of It All,1963,d.- Norman Jewison (6 1/2)
The Wrong Arm of the Law,1963,(BR) d.- Clive Owen (6 1/2)
Cleopatra,1963,d.- Joseph L. Mankiewicz (6 1/2)
The Caretaker,1963,(BR) d.- Clive Donner (6 1/2)
The Victors,1963,(BR) d.- Carl Foreman (6 1/2)
A Child is Waiting,1963,d.- John Cassavettes (6 1/2)
The List of Adrian Messenger,1963,d.- John Huston (6 1/2)
McClintock!,1963,d.- Andrew V. McLaglen (6 1/2)
Captain Newman M.D.,1963,d.- David Miller (6 1/2)
Sunday in New York,1963,d.- Peter Tewksbury (6 1/2)
Donovan's Reef,1963,d.- John Ford (6 1/2)
Move Over Darling,1963,d.- Michael Gordon (6 1/2)
The Prize,1963,d.- Mark Robson (6 1/2)
Gone Are the Days!,1963,d.- Nicholas Webster (6 1/2)
Heavens Above,1963,"(BR) d.- John Boulting, Roy Boulting (6 1/2)"
Soldier in the Rain,1963,d.- Ralph Nelson (6 1/2)
"Bye, Bye Birdie",1963,d.- George Sidney (6 1/2)
Children of the Damned,1963,(BR) d.- Anton Leader (6 1/2)
I Could Go On Singing,1963,(BR) d.- Ronald Neame (6 1/2)
Spencer’s Mountain,1963,d.- Delmer Daves (6 1/2)
The Courtship of Eddie’s Father,1963,d.- Vincente Minnelli (6 1/2)
The Householder,1963,(IND) d.- James Ivory (6 1/2)
The Damned,1963,(BR) d.- Joseph Losey (6 1/2)
A Gathering of Eagles,1963,d.- Delbert Mann (6 1/2)
Toys In the Attic,1963,d.- George Roy Hill (6 1/2)
The Bitter Ash,1963,(CAN) d.- Larry Kent (6 1/2)
The Haunted Palace,1963,d.- Roger Corman (6 1/2)
The V.I.P.s,1963,(BR) d.- Anthony Asquith (6 1/2)
55 Days at Peking,1963,d.- Nicholas Ray (6 1/2)
It Happened at The World’s Fair,1963,d.- Norman Taurog (6 1/2)
The Long Ships,1963,(BR-YUG) d.- Jack Cardiff (6 1/2)
Ladybug Ladybug,1963,d.- Frank Perry (6 1/2)
The Householder,1963,(IND) d.- James Ivory (6 1/2)
The Stripper,1963,d.- Franklin J. Schaffner (6 1/2)
All the Way Home,1963,d.- Alex Segal (6 1/2)
Twilight of Honor,1963,d.- Boris Sagal (6 1/2)
The Ugly American,1963,d.- George Englund (6 1/2)
Man in the Middle,1963,(BR) d.- Guy Hamilton (6 1/2)
Doctor in Distress,1963,(BR) d.- Ralph Thomas (6 1/2)
The Hook,1963,d.- George Seaton (6 1/2)
The Cardinal,1963,d.- Otto Preminger (6 1/2)
Summer Holiday,1963,(BR) d.- Peter Yates (6 1/2)
Summer Magic,1963,d.- James Neilson (6 1/2)
Nine Hours to Rama,1963,(BR-US) d.- Mark Robson (6 1/2)
A Ticklish Affair,1963,d.- George Sidney (6 1/2)
Kings of the Sun,1963,d.- J. Lee Thompson (6 1/2)
Fun in Acapulco,1963,d.- Richard Thorpe (6 1/2)
The Mouse on the Moon,1963,(BR) d.- Richard Lester (6 1/2)
A Ticklish Affair,1963,d.- George Sidney (6 1/2)
PT 109,1963,d.- Leslie H. Martinson (6 1/2)
Under the Yum Yum Tree,1963,d.- David Swift (6 1/2)
Palm Springs Weekend,1963,d.- Norman Taurog (6 1/2)
Flipper,1963,d.- James B. Clark (6 1/2)
The Man from the Diner’s Club,1963,d.- Frank Tashlin (6 1/2)
The Running Man,1963,(BR) d.- Carol Reed (6 1/2)
A New Kind of Love,1963,d.- Melville Shavelson (6 1/2)
"Krakatoa, East of Java",1963,d.- Bernard L. Kowalski (6 1/2)
The Mind Benders,1963,(BR) d.- Basil Dearden (6 1/2)
The Kiss of the Vampire,1963,(BR) d.- Don Sharp (6 1/2)
Wives and Lovers,1963,d.- John Rich (6 1/2)
X(Man with the X-Ray Eyes),1963,d.- Roger Corman (6 1/2)
Tammy and the Doctor,1963,d.- Harry Keller (6 1/2)
Who’s Been Sleeping in My Bed ?,1963,d.- Daniel Mann (6 1/2)
Beach Party,1963,d.- William Asher (6 1/2)
Carry on Cabby,1963,(BR)  d.- Gerald Thomas (6 1/2)
Cry of Battle,1963,d.- Irving Lerner (6 1/2)
Johnny Cool,1963,d.- William Asher (6 1/2)
Dementia 13,1963,d.- Francis Ford Coppola (6 1/2)
Love is a Ball,1963,d.- David Swift (6 1/2)
Love is a Ball,1963,d.- David Swift (6 1/2)
The Day of the Triffids,1963,d.- Steve Sekely (6 1/2)
The Ugly Dachshund,1963,d.- Norman Tokar (6 1/2)
In the French Style,1963,(US-FR) d.- Robert Parrish (6)
Cry of Battle,1963,d.- Irving Lerner (6)
The Terror,1963,d.- Roger Corman (6)
Rampage,1963,d.- Phil Karlson (6)
"80,000 Suspects",1963,(BR) d.- Val Guest (6)
Beyond the Stars(Unearthly Stranger),1963,(BR) d.- John Krish (6)
The Three Stooges Go Around the World*,1963,d.- Norman Maurer (6)
Savage Sam,1963,d.- Norman Tokar (6)
Violent Midnight,1963,d.- Richard Hilliard (5 1/2)
Unearthly Stranger,1963,(BR) d.- John Krish (5 1/2)
The Balcony,1963,d.- Joseph Strick (5)
Dr. Strangelove*,1964,(BR) d.- Stanley Kubrick (7)
Mary Poppins,1964,d.- Robert Stevenson (7)
My Fair Lady,1964,d.- George Cukor (7)
Zorba the Greek,1964,(US-GR) d.- Mihalis Kakogiannis (7)
Seven Days in May,1964,d.- John Frankenheimer (7)
Becket,1964,(BR-US) d.- Peter Glenville (7)
Goldfinger,1964,(BR) d.- Guy Hamilton (7)
Séance on a Wet Afternoon,1964,(BR) d.- Bryan Forbes (7)
The Train,1964,(US-FR-IT) d.- John Frankenheimer (7)
Zulu,1964,(BR) d.- Cy Endfield (7)
King & Country,1964,(BR) d.- Joseph Losey (7)
Fail-Safe,1964,d.- Sidney Lumet (7)
The Americanization of Emily,1964,d.- Arthur Hiller (7)
The Best Man,1964,d.- Franklin J. Schaffner (6 1/2)
A Hard Day's Night,1964,(BR) d.- Richard Lester (6 1/2)
Nothing But a Man,1964,d.- Michael Roemer (6 1/2)
A Shot in the Dark,1964,d.- Blake Edwards (6 1/2)
"One Potato, Two Potato",1964,d.- Larry Peerce (6 1/2)
The Unsinkable Molly Brown,1964,d.- Charles Walters (6 1/2)
Topkapi,1964,d.- Jules Dassin (6 1/2)
The 7th Dawn,1964,(BR) d.- Lewis Gilbert (6 1/2)
The Night of the Iguana,1964,d.- John Huston (6 1/2)
The Killers,1964,d.- Don Siegel (6 1/2)
The Seven Faces of  Dr. Lao,1964,d.- George Pal (6 1/2)
Fate is the Hunter,1964,d.- Ralph Nelson (6 1/2)
The World of Henry Orient,1964,d.- George Roy Hill (6 1/2)
Send Me No Flowers,1964,d.- Norman Jewison (6 1/2)
Guns at Batasi,1964,(BR) d.- John Guillermin (6 1/2)
The Disorderly Orderly,1964,d.- Frank Tashlin (6 1/2)
The Naked Kiss,1964,d.- Samuel Fuller (6 1/2)
Marnie,1964,d.- Alfred Hitchcock (6 1/2)
Girl with Green Eyes,1964,(BR) d.- Desmond Davis (6 1/2)
Murder Most Foul,1964,(BR) d.- George Pollock (6 1/2)
The Comedy of Terrors,1964,d.- Jacques Tourneur (6 1/2)
Nothing But the Best,1964,(BR) d.- Clive Donner (6 1/2)
Nothing But a Man,1964,d.- Michael Roemer (6 1/2)
Lilith,1964,d.- Robert Rossen (6 1/2)
The Chalk Garden,1964,(BR-US) d.- Ronald Neame (6 1/2)
The Thin Red Line,1964,d.- Andrew Marton (6 1/2)
Nobody Waved Good-Bye,1964,(CAN) d.- Don Owen (6 1/2)
Father Goose,1964,d.- Ralph Nelson (6 1/2)
The Luck of Ginger Coffey,1964,(CAN-US) d.- Irvin Kershner (6 1/2)
Robin and the Seven Hoods,1964,d.- Gordon Douglas (6 1/2)
Murder Ahoy,1964,(BR) d.- George Pollock (6 1/2)
The 3 Lives of Thomasina,1964,d.- Don Chaffey (6 1/2)
What a Way to Go!,1964,d.- J. Lee Thompson (6 1/2)
The Incredible Mr. Limpet,1964,d.- Arthur Lubin (6 1/2)
The 3 Lives of Thomasina,1964,d.- Don Chaffey (6 1/2)
Carry on Cleo,1964,(BR) d.- Gerald Thomas (6 1/2)
Cheyenne Autumn,1964,d.- John Ford (6 1/2)
The Fall of the Roman Empire,1964,d.- Anthony Mann (6 1/2)
The Carpetbaggers,1964,d.- Edward Dmytryk (6 1/2)
Dear Heart,1964,d.- Delbert Mann (6 1/2)
The Moon-Spinners,1964,d.- James Neilson (6 1/2)
Hamlet,1964,"d.- Bill Colleran, John Gielgud (6 1/2)"
Nobody Waved Good-Bye,1964,(CAN) d.- Don Owen (6 1/2)
Strait-Jacket,1964,d.- William Castle (6 1/2)
Good Neighbor Sam,1964,d.- David Swift (6 1/2)
Viva Las Vegas,1964,d.- George Sidney (6 1/2)
A Jolly Bad Fellow,1964,(BR) d.- Don Chaffey (6 1/2)
The Patsy,1964,d.- Jerry Lewis (6 1/2)
Woman of Straw,1964,(BR) d.- Basil Dearden (6 1/2)
The Third Secret,1964,(BR) d.- Charles Crichton (6 1/2)
The Truth About Spring,1964,(BR) d.- Richard Thorpe (6 1/2)
Advance to the Rear,1964,d.- George Marshall (6 1/2)
Night Must Fall,1964,(BR) d.- Karel Reisz (6 1/2)
The System,1964,(BR) d.- Michael Winner (6 1/2)
Sex and the Single Girl,1964,d.- Richard Quine (6 1/2)
Black Like Me,1964,d.- Carl Lerner (6 1/2)
Nothing But the Best,1964,(BR) d.- Clive Donner (6 1/2)
Behold a Pale Horse,1964,d.- Fred Zinnemann (6 1/2)
The Yellow Rolls-Royce,1964,(BR) d.- Anthony Asquith (6 1/2)
Youngblood Hawke,1964,d.- Delmer Daves (6 1/2)
The Outrage,1964,d.- Martin Ritt (6 1/2)
Ride the Wild Surf,1964,d.- Don Taylor (6 1/2)
First Men in the Moon,1964,(BR) d.- Nathan Juran (6 1/2)
Rio Conchos,1964,d.- Gordon Douglas (6 1/2)
Your Cheatin Heart,1964,d.- Gene Nelson (6 1/2)
Tomb of Ligeia,1964,(BR) d.- Roger Corman (6 1/2)
Ensign Pulver,1964,d.- Joshua Logan (6 1/2)
The Troublemaker,1964,d.- Theodore J. Flicker (6 1/2)
Quick Before It Melts,1964,d.- Delbert Mann (6 1/2)
A Distant Trumpet,1964,d.- Raoul Walsh (6 1/2)
Paranoiac,1964,(BR) d.- Freddie Francis (6 1/2)
"Kiss Me, Stupid",1964,d.- Billy Wilder (6 1/2)
The Night Walker,1964,d.- William Castle (6 1/2)
Robinson Crusoe on Mars,1964,d.- Byron Haskin (6 1/2)
Bedtime Story,1964,d.- Ralph Levy (6 1/2)
Hot Enough for June,1964,(BR) d.- Ralph Thomas (6 1/2)
Where Love Has Gone,1964,d.- Edward Dmytryk (6 1/2)
Lady in a Cage,1964,d.- Walter Grauman (6 1/2)
Flight from Ashiya,1964,(JAP-US) d.- Michael Anderson (6 1/2)
Of Human Bondage,1964,(BR) d.- Ken Hughes (6 1/2)
Goodbye Charlie,1964,d.- Vincente Minnelli (6 1/2)
Mail Order Bride,1964,d.- Burt Kennedy (6 1/2)
Circus World,1964,d.- Henry Hathaway (6 1/2)
Sweet Substitute,1964,(CAN) d.- Larry Kent (6 1/2)
Carry on Spying,1964,(BR) d.- Gerald Thomas (6 1/2)
Dead Ringer,1964,d.- Paul Henreid (6 1/2)
I’d Rather be Rich,1964,d.- Jack Smight (6 1/2)
The Secret Invasion,1964,d.- Roger Corman (6 1/2)
633 Squadron,1964,(BR-US) d.- Walter Grauman (6 1/2)
The Gorgon,1964,(BR) d.- Terence Fisher (6 1/2)
McHale’s Navy,1964,d.- Edward Montagne (6 1/2)
Island of the Blue Dolphins,1964,d.- James B. Clark (6 1/2)
Roustabout,1964,d.- John Rich (6 1/2)
Back Door to Hell,1964,d.- Monte Hellman (6 1/2)
Invitation to a Gunfighter,1964,d.- Richard Wilson (6 1/2)
Pajama Party,1964,d.- Don Weis (6)
Devil Doll,1964,(BR) d.- Lindsay Shonteff (6)
Bikini Beach,1964,d.- William Asher (6)
The Young Lovers,1964,"d.- Samuel Goldwyn, Jr. (6)"
Looking for Love,1964,d.- Don Weis (6)
The Last Man on Earth,1964,"(US-IT) d.- Ubaldo Ragona, Sidney Salkow (6)"
A Tiger Walks,1964,d.- Norman Tokar (6)
Signpost to Murder,1964,d.- George Englund (6)
3 Nuts in Search of a Bolt,1964,d.- Tommy Noonan (6)
Ski Party,1964,d.- Alan Rafkin (6)
Two Thousand Maniacs,1964,d.- Herschell Gordon Lewis (6)
The Sound of Music,1965,d.- Robert Wise (7)
Falstaff(Chimes at Midnight),1965,(FR-SP-SW) d.- Orson Welles (7)
Dr. Zhivago,1965,d.- David Lean (7)
Repulsion,1965,(BR) d.- Roman Polanski (7)
A Patch of Blue,1965,d.- Guy Green (7)
The Pawnbroker,1965,d.- Sidney Lumet (7)
The Spy Who Came In From the Cold,1965,(BR) d.- Martin Ritt (7)
The Hill,1965,(BR) d.- Sidney Lumet (7)
Ship of Fools,1965,d.- Stanley Kramer (6 1/2)
Darling,1965,(BR) d.- John Schlesinger (6 1/2)
The Bedford Incident,1965,(BR-US) d.- James B. Harris (6 1/2)
Cat Ballou,1965,d.- Elliot Silverstein (6 1/2)
The Ipcress File,1965,(BR) d.- Sidney J. Furie (6 1/2)
"Hush, Hush, Sweet Charlotte",1965,d.- Robert Aldrich (6 1/2)
Mirage,1965,d.- Edward Dmytryk (6 1/2)
A Thousand Clowns,1965,d.- Fred Coe (6 1/2)
Von Ryan’s Express,1965,d.- Mark Robson (6 1/2)
The Flight of the Phoenix,1965,d.- Robert Aldrich (6 1/2)
King Rat,1965,d.- Bryan Forbes (6 1/2)
Othello,1965,(BR) d.- Stuart Burge (6 1/2)
The Cincinnati Kid,1965,d.- Norman Jewison (6 1/2)
A Funny Thing Happened on the Way to the Forum,1965,d.- Richard Lester (6 1/2)
Shenandoah,1965,d.- Andrew V. McLaglen (6 1/2)
Lord Jim,1965,(BR-US) d.- Richard Brooks (6 1/2)
In Harm’s Way,1965,d.- Otto Preminger (6 1/2)
The Nanny,1965,(BR) d.- Seth Holt (6 1/2)
Sands of the Kalahari,1965,(BR) d.- Cy Endfield (6 1/2)
The Sons of Katie Elder,1965,d.- Henry Hathaway (6 1/2)
The Greatest Story Ever Told,1965,d.- George Stevens (6 1/2)
Battle of the Bulge,1965,d.- Ken Annakin (6 1/2)
A Study in Terror,1965,(BR) d.- James Hill (6 1/2)
The Great Race,1965,d.- Blake Edwards (6 1/2)
The Knack: And How to Get It,1965,(BR) d.- Richard Lester (6 1/2)
Masque of the Red Death,1965,(BR) d.- Roger Corman (6 1/2)
36 Hours,1965,d.- George Seaton (6 1/2)
The Slender Thread,1965,d.- Sydney Pollack (6 1/2)
Thunderball,1965,(BR) d.- Terence Young (6 1/2)
Ten Little Indians,1965,(BR) d.- George Pollock (6 1/2)
The Collector,1965,d.- William Wyler (6 1/2)
Those Magnificent Men and Their Flying Machines*,1965,(BR) d.- Ken Annakin (6 1/2)
Shakespeare Wallah,1965,(IND) d.- James Ivory (6 1/2)
Baby the Rain Must Fall,1965,d.- Robert Mulligan (6 1/2)
Help!,1965,(BR) d.- Richard Lester (6 1/2)
Operation Crossbow,1965,(BR) d.- Michael Anderson (6 1/2)
Mickey One,1965,d.- Arthur Penn (6 1/2)
The Agony and the Ecstasy,1965,d.- Carol Reed (6 1/2)
Man’s Favorite Sport ?,1965,d.- Howard Hawks (6 1/2)
That Darn Cat!,1965,d.- Robert Stevenson (6 1/2)
Young Cassidy,1965,(BR) d.- Jack Cardiff (6 1/2)
The Heroes of Telemark,1965,d.- Anthony Mann (6 1/2)
Blindfold,1965,d.- Philip Dunne (6 1/2)
Young Cassidy,1965,(BR) d.- Jack Cardiff (6 1/2)
The Hallelujah Trail,1965,d.- John Sturges (6 1/2)
How to Murder Your Wife,1965,d.- Richard Quine (6 1/2)
A High Wind in Jamaica,1965,(BR) d.- Alexander Mackendrick (6 1/2)
Major Dundee,1965,d.- Sam Peckinpah (6 1/2)
The Third Day,1965,d.- Jack Smight (6 1/2)
Harlow,1965,d.- Gordon Douglas (6 1/2)
Dr. Terror’s House of Horrors,1965,(BR) d.- Freddie Francis (6 1/2)
The Money Trap,1965,d.- Burt Kennedy (6 1/2)
Bunny Lake is Missing,1965,(BR) d.- Otto Preminger (6 1/2)
The War Lord,1965,d.- Franklin J. Schaffner (6 1/2)
The Alphabet Murders,1965,(BR) d.- Frank Tashlin (6 1/2)
The Glory Guys,1965,d.- Arnold Laven (6 1/2)
The Rounders,1965,d.- Burt Kennedy (6 1/2)
The Satan Bug,1965,d.- John Sturges (6 1/2)
The Big Job,1965,(BR) d.- Gerald Thomas (6 1/2)
Ride in the Whirlwind,1965,d.- Monte Hellman (6 1/2)
Crack in the World,1965,d.- Andrew Marton (6 1/2)
Mister Moses,1965,d.- Ronald Neame (6 1/2)
None But the Brave,1965,(US-JAP) d.- Frank Sinatra (6 1/2)
The Liquidator,1965,(BR) d.- Jack Cardiff (6 1/2)
The Art of Love,1965,d.- Norman Jewison (6 1/2)
4 for Texas,1965,d.- Robert Aldrich (6 1/2)
Beach Blanket Bingo,1965,d.- William Asher (6 1/2)
I Was Happy Here,1965,(BR) d.- Desmond Davis (6 1/2)
The Lady L,1965,(FR-IT-BR) d.- Peter Ustinov  (6 1/2)
Once a Thief,1965,(FR-US) d.- Ralph Nelson (6 1/2)
The Sandpiper,1965,d.- Vincente Minnelli (6 1/2)
She,1965,(BR) d.- Robert Day (6 1/2)
Rapture,1965,(FR-US) d.- John Guillermin (6 1/2)
What’s New Pussycat ?,1965,"(FR-US) d.- Clive Donner, Richard Talmadge (6 1/2)"
Sylvia,1965,d.- Gordon Douglas (6 1/2)
The Face of Fu Manchu,1965,(BR-GER) d.- Don Sharp (6 1/2)
Inside Daisy Clover,1965,d.- Robert Mulligan (6 1/2)
Morituri,1965,d.- Bernhard Wicki (6 1/2)
I Saw What You Did(and I Know Who You Are),1965,d.- William Castle (6 1/2)
Way…Way Out,1965,d.- Gordon Douglas (6 1/2)
The Skull,1965,(BR) d.- Freddie Francis (6 1/2)
Life at the Top,1965,(BR) d.- Ted Kotcheff (6 1/2)
The Amorous Adventures of Moll Flanders,1965,(BR) d.- Terence Young (6 1/2)
Return from the Ashes,1965,(BR) d.- J. Lee Thompson (6 1/2)
Do Not Disturb,1965,d.- Ralph Levy (6 1/2)
Stuation Hopeless… But Not Serious,1965,d.- Gottfried Reinhardt (6 1/2)
Tickle Me,1965,d.- Norman Taurog (6 1/2)
"John Goldfarb, Please Come Home",1965,d.- J. Lee Thompson (6 1/2)
Dear Brigitte,1965,d.- Henry Koster (6 1/2)
Those Calloways,1965,d.- Norman Tokar (6 1/2)
Joy in the Morning,1965,d.- Alex Segal (6 1/2)
Fanatic,1965,(BR) d.- Silvio Narizzano (6 1/2)
Indian Paint,1965,d.- Norman Foster (6 1/2)
Girl Happy,1965,d.- Boris Sagal (6 1/2)
You Must Be Joking!,1965,(BR) d.- Michael Winner (6 1/2)
Dark Intruder,1965,d.- Harvey Hart (6 1/2)
The City Under the Sea,1965,(BR) d.- Jacques Tourneur (6 1/2)
Moment to Moment,1965,d.- Mervyn LeRoy (6)
The Monkey’s Uncle,1965,d.- Robert Stevenson (6)
Bus Riley’s Back in Town,1965,d.- Harvey Hart (6)
I’ll Take Sweden,1965,d.- Frederick De Cordova (6)
Genghis Khan,1965,(BR-GER-YUG-US) d.- Henry Levin (6)
My Blood Runs Cold,1965,d.- William Conrad (6)
Promise Her Anything,1965,(BR) d.- Arthur Hiller (6)
Arizona Raiders,1965,d.- William Witney (6)
The Monkey’s Uncle,1965,d.- Robert Stevenson (6)
"Faster, Pussycat! Kill! Kill!",1965,d.- Russ Meyer (5 1/2)
A Man for All Seasons,1966,(BR) d.- Fred Zinnemann (7)
Who's Afraid of Virginia Woolf ?,1966,d.- Mike Nichols (7)
"The Good, the Bad and the Ugly",1966,(IT-SP) d.- Sergio Leone (7)
Cul-de-sac,1966,(BR) d.- Roman Polanski (6 1/2)
The Sand Pebbles,1966,d.- Robert Wise (6 1/2)
Alfie,1966,(BR) d.- Lewis Gilbert (6 1/2)
The Professionals,1966,d.- Richard Brooks (6 1/2)
Blowup,1966,(BR-IT) d.- Michaelangelo Antonioni (6 1/2)
El Dorado,1966,d.- Howard Hawks (6 1/2)
It Happened Here,1966,"(BR) d.- Kevin Brownlow, Andrew Mollo (6 1/2)"
Seconds,1966,d.- John Frankenheimer (6 1/2)
Georgy Girl,1966,(BR) d.- Silvio Nazzirano (6 1/2)
The Wrong Box,1966,(BR) d.- Bryan Forbes (6 1/2)
The Naked Prey,1966,(SA-US) d.- Cornell Wilde (6 1/2)
The Family Way,1966,(BR) d.- Roy Boulting (6 1/2)
The Fortune Cookie,1966,d.- Billy Wilder (6 1/2)
Fahrenheit 451,1966,(BR) d.- Francois Truffaut (6 1/2)
This Property is Condemned,1966,d.- Sydney Pollack (6 1/2)
Our Man Flint,1966,d.- Daniel Mann (6 1/2)
How to Steal a Million,1966,d.- William Wyler (6 1/2)
Madame X,1966,d.- David Lowell Rich (6 1/2)
The Group,1966,d.- Sidney Lumet (6 1/2)
Madamoiselle,1966,(FR-BR) d.- Tony Richardson (6 1/2)
The Blue Max,1966,(BR) d.- John Guillermin (6 1/2)
Hawaii,1966,d.- George Roy Hill (6 1/2)
Nevada Smith,1966,d.- Henry Hathaway (6 1/2)
"The Russians are Coming, The Russians are Coming",1966,d.- Norman Jewison (6 1/2)
Morgan: a Suitable Case for Treatment,1966,(BR) d.- Karel Reisz (6 1/2)
The Quiller Memorandum,1966,(BR) d.- Michael Anderson (6 1/2)
Khartoum,1966,"(BR) d.- Basil Dearden, Eliot Elisofon (6 1/2)"
Funeral In Berlin,1966,(BR) d.- Guy Hamilton (6 1/2)
The Trap,1966,(CAN-BR) d.- Sidney Hayers (6 1/2)
Gambit,1966,d.- Ronald Neame (6 1/2)
Harper,1966,d.- Jack Smight (6 1/2)
A Big Hand for the Little Lady,1966,d.- Fielder Cook (6 1/2)
Fantastic Voyage,1966,d.- Richard Fleischer (6 1/2)
Dracula: Prince of Darkness,1966,(BR) d.- Terence Fisher (6 1/2)
Triple Cross,1966,(BR) d.- Terence Young (6 1/2)
Don’t Lose Your Head,1966,(BR) d.- Gerald Thomas (6 1/2)
"What Did You Do in the War, Daddy ?",1966,d.- Blake Edwards (6 1/2)
Grand Prix,1966,d.- John Frankenheimer (6 1/2)
Arabesque,1966,d.- Stanley Donen (6 1/2)
The Singing Nun,1966,d.- Henry Koster (6 1/2)
The Trouble with Angels,1966,d.- Ida Lupino (6 1/2)
Mister Buddwing,1966,d.- Delbert Mann (6 1/2)
Alvarez Kelly,1966,d.- Edward Dmytryk (6 1/2)
The Rare Breed,1966,d.- Andrew V. McLaglen (6 1/2)
Stagecoach,1966,d.- Gordon Douglas (6 1/2)
Born Free,1966,(BR) d.- James Hill (6 1/2)
Torn Curtain,1966,d.- Alfred Hitchcock (6 1/2)
One Million Years B.C.,1966,(BR) d.- Don Chaffey (6 1/2)
The Chase,1966,d.- Arthur Penn (6 1/2)
Lost Command,1966,d.- Mark Robson (6 1/2)
The Bible: In the Beginning,1966,(US-IT) d.- John Huston (6 1/2)
The Rare Breed,1966,d.- Andrew V. McLaglen (6 1/2)
Penelope,1966,d.- Arthur Hiller (6 1/2)
The Glass Bottom Boat,1966,d.- Frank Tashlin (6 1/2)
Duel at Diablo,1966,d.- Ralph Nelson (6 1/2)
The Silencers,1966,d.- Phil Karlson (6 1/2)
