Title,Year,Notes
Voltaire,1933,d.- John G. Adolfi (6 1/2)
Bureau of Missing Persons,1933,d.- Roy Del Ruth (6 1/2)
Tugboat Annie,1933,d.- Mervyn LeRoy (6 1/2)
Flying Down to Rio,1933,d.- Thornton Freeland (6 1/2)
Dancing Lady,1933,d.- Robert  Z. Leonard (6 1/2)
The World Changes,1933,d.- Mervyn LeRoy (6 1/2)
Mary Stevens M. D.,1933,d.- Lloyd Bacon (6 1/2)
Midnight Mary,1933,d.- William A. Wellman (6 1/2)
Hell Below,1933,d.- Jack Conway (6 1/2)
Hold Your Man,1933,d.- Sam Wood (6 1/2)
Mystery of the Wax Museum,1933,d.- Michael Curtiz (6 1/2)
Tillie and Gus,1933,d.- Francis Martin (6 1/2)
The Prizefighter and the Lady,1933,d.- W. S. Van Dyke (6 1/2)
Another Language,1933,d.- Edward H. Griffith (6 1/2)
The Emperor Jones,1933,d.- Dudley Murphy (6 1/2)
Bitter Sweet,1933,(BR) d.- Herbert Wilcox (6 1/2)
Perfect Understanding,1933,(BR) d.- Cyril Gardner (6 1/2)
The Son of Kong,1933,d.- Ernest B. Schoedsack (6 1/2)
Picture Snatcher,1933,d.- Lloyd Bacon (6 1/2)
Sweepings,1933,d.- John Cromwell (6 1/2)
Topaze,1933,d.- Harry d’Abaddie d’Arrast (6 1/2)
Morning Glory,1933,d.- Lowell Sherman (6 1/2)
Rafter Romance,1933,d.- William A. Seiter (6 1/2)
The Working Man,1933,d.- John G. Adolfi (6 1/2)
When Ladies Meet,1933,d.- Harry Beaumont (6 1/2)
Berkeley Square,1933,d.- Frank Lloyd (6 1/2)
The Story of Temple Drake,1933,d.- Stephen Roberts (6 1/2)
Lady Killer,1933,d.- Roy Del Ruth (6 1/2)
Today We Live,1933,"d.- Howard Hawks, Richard Rosson (6 1/2)"
Friday the Thirteenth,1933,(BR) d.- Victor Saville (6 1/2)
The Mind Reader,1933,d.- Roy Del Ruth (6 1/2)
Grand Slam,1933,d.- William Dieterle (6 1/2)
Three Cornered Moon,1933,d.- Elliott Nugent (6 1/2)
The Monkey’s Paw,1933,"d.- Wesley Ruggles, Ernest B. Schoedsack (6 1/2)"
Gallant Lady,1933,d.- Gregory La Cava (6 1/2)
Ann Vickers,1933,d.- John Cromwell (6 1/2)
The Little Giant,1933,d.- Roy Del Ruth (6 1/2)
Beauty for Sale,1933,d.- Richard Boleslawski (6 1/2)
Double Harness,1933,d.- John Cromwell (6 1/2)
Secret of the Blue Room,1933,d.- Kurt Neumann (6 1/2)
Mayor of Hell,1933,d.- Archie Mayo (6 1/2)
Son of a Sailor,1933,d.- Lloyd Bacon (6 1/2)
The Eagle and the Hawk,1933,d.- Stuart Walker (6 1/2)
Supernatural,1933,d.- Victor Halperin (6 1/2)
Looking Forward,1933,d.- Clarence Brown (6 1/2)
Christopher Strong,1933,d.- Dorothy Arzner (6 1/2)
The Life of Jimmy Dolan,1933,d.- Archie Mayo (6 1/2)
Bed of Roses,1933,d.- Gregory La Cava (6 1/2)
The Keyhole,1933,d.- Michael Curtiz (6 1/2)
A Study in Scarlet,1933,d.- Edwin L. Marin (6 1/2)
Secrets,1933,d.- Frank Borzage (6 1/2)
Men Must Fight,1933,d.- Edgar Selwyn (6 1/2)
Peg o’ My Heart,1933,d.- Robert Z. Leonard (6 1/2)
Let’s Fall in Love,1933,d.- David Burton (6 1/2)
The White Sister,1933,d.- Victor Fleming (6 1/2)
Fast Workers,1933,d.- Tod Browning (6 1/2)
Eskimo,1933,d.- W. S. Van Dyke (6 1/2)
Our Betters,1933,d.- George Cukor (6 1/2)
Ladies They Talk About,1933,"d.- Howard Bretherton, William Keighley (6 1/2)"
Central Airport,1933,d.- William A. Wellman (6 1/2)
To the Last Man,1933,d.- Henry Hathaway (6 1/2)
The House on 56th Street,1933,d.- Robert Florey (6 1/2)
Torch Singer,1933,"d.- Alexander Hall, George Somnes (6 1/2)"
Adorable,1933,d.- William Dieterle (6 1/2)
Cash,1933,(BR) d.- Zoltan Korda (6 1/2)
Hoop-La,1933,d.- Frank Lloyd (6 1/2)
Turn Back the Clock,1933,d.- Edgar Selwyn (6 1/2)
Captured!,1933,d.- Roy Del Ruth (6 1/2)
The Ghoul,1933,(BR) d.- T. Hayes Hunter (6 1/2)
Goodbye Again,1933,d.- Michael Curtiz (6 1/2)
The Song of Songs,1933,d.- Rouben Mamoulian (6 1/2)
Female,1933,d.- Michael Curtiz (6 1/2)
My Woman,1933,d.- Victor Schertzinger (6 1/2)
Night Flight,1933,d.- Clarence Brown (6 1/2)
The Power and the Glory,1933,d.- William K. Howard (6 1/2)
The Women in His Life,1933,d.- George B. Seitz (6 1/2)
She Had to Say Yes,1933,"d.- George Amy, Busby Berkeley (6 1/2)"
I Loved You Wednesday,1933,"d.- Henry King, William Cameron Menzies (6 1/2)"
I Cover the Waterfront,1933,d.- James Cruze (6 1/2)
Brief Moment,1933,d.- David Burton (6 1/2)
Parachute Jumper,1933,d.- Alfred E. Green (6 1/2)
Let’s Fall in Love,1933,d.- David Burton (6 1/2)
The Secret of Madame Blanche,1933,d.- Charles Brabin (6 1/2)
Oliver Twist,1933,d.- William J. Cowen (6)
Blondie Johnson,1933,d.- Ray Enright (6)
What! No Beer ?,1933,d.- Edward Sedgwick (6)
The Silver Cord,1933,d.- John Cromwell (6)
Blood Money,1933,d.- Rowland Brown (6)
Doctor Bull,1933,d.- John Ford (6)
Lilly Turner,1933,d.- William A. Wellman (6)
The Narrow Corner,1933,d.- Alfred E. Green (6)
No Funny Business,1933,"(BR) d.- Victor Hanbury, John Stafford (6)"
Blood Money,1933,d.- Rowland Brown (6)
Before Dawn,1933,d.- Irving Pichel (6)
Broadway Through a Keyhole,1933,d.- Lowell Sherman (6)
One Man’s Journey,1933,d.- John S. Robertson (5 1/2)
Penthouse,1933, d.- W. S. Van Dyke 
It Happened One Night,1934,d.- Frank Capra (7)
The Scarlet Empress,1934,d.- Josef von Sternberg (7)
The Thin Man,1934,d.- W. S. Van Dyke (7)
Twentieth Century,1934,d.- Howard Hawks (7)
The Merry Widow,1934,d.- Ernst Lubitsch (7)
The Gay Divorcee,1934,d.- Mark Sandrich (7)
It’s a Gift,1934,d.- Norman Z. McLeod (7)
